,0,1,2,3,4,5,6,7,8,9
Majority Classifier,"(0.4889776699721766, 0.48402602731695876)","(0.4808255373848461, 0.48402602731695876)","(0.4873889875666075, 0.48402602731695876)","(0.4832892006011594, 0.48402602731695876)","(0.4827660336796847, 0.48402602731695876)","(0.48635394456289976, 0.48402602731695876)","(0.48359954363947516, 0.48402602731695876)","(0.4847233103055338, 0.48402602731695876)","(0.4881062933066648, 0.48402602731695876)","(0.48202311314024826, 0.48402602731695876)"
Nearest Neighbors,"(0.5909220667998858, 0.5798112433319655)","(0.5950253734543636, 0.5852042909900932)","(0.5802906770648706, 0.586318072571663)","(0.5875044373446929, 0.5897766574828536)","(0.5780091272104962, 0.584735330324169)","(0.585780305723427, 0.5861422123219415)","(0.5804846848127354, 0.5853215311565743)","(0.583732057416268, 0.5849111905738906)","(0.5843399175785136, 0.5875490943197139)","(0.5917046101309049, 0.584266369658245)"
Linear SVM,"(0.6936043629152207, 0.6921273228207984)","(0.6967001434720229, 0.6956445278152295)","(0.6987986270022883, 0.6965238290638373)","(0.6987092633530628, 0.6949410868163433)","(0.693289828344446, 0.6948238466498623)","(0.6948296707204324, 0.6939445454012545)","(0.6923186954655987, 0.6964652089805967)","(0.7023344923011424, 0.6958790081481916)","(0.6974513172966781, 0.697168649979483)","(0.6929274205047768, 0.6903687203235829)"
Decision Tree,"(0.6315265329349836, 0.6368485843249897)","(0.6484419668381932, 0.6398382085702562)","(0.642730181301102, 0.6403657893194208)","(0.6433107384944702, 0.639369247904332)","(0.651238963258331, 0.6363796236590656)","(0.6384670487106017, 0.6416554311507122)","(0.6419400855920114, 0.6464622779764347)","(0.6357097072858059, 0.6414795709009907)","(0.6428723479741716, 0.6403071692361804)","(0.6409852498925963, 0.6376106454071164)"
Random Forest,"(0.6890839586577941, 0.6856204935811009)","(0.6903281149474587, 0.6886101178263673)","(0.6770870337477798, 0.6832170701682396)","(0.6862228551085796, 0.6846825722492526)","(0.694372852233677, 0.6867928952459113)","(0.6898220640569395, 0.6840963714168474)","(0.6829373031777841, 0.6844480919162905)","(0.6905454287538123, 0.686089454247025)","(0.6885775862068966, 0.6874377161615569)","(0.6830780192376202, 0.687672196494519)"
Neural Net,"(0.6812280324223513, 0.6743068175156809)","(0.6795544376572045, 0.676358520429099)","(0.6857081422018348, 0.6835687906676827)","(0.6852882420091324, 0.6858549739140629)","(0.6744052737173976, 0.6757136995134533)","(0.6759311913562696, 0.6813412275045431)","(0.67951100943666, 0.6806964065888974)","(0.6863263120314174, 0.6819274283369482)","(0.6738120757413362, 0.6863825546632276)","(0.6764221824686941, 0.6788205639252007)"
Naive Bayes,"(0.08655354341936404, 0.08482326044902984)","(0.07959314318230315, 0.07913711237469957)","(0.07727402338180782, 0.07866815170877543)","(0.0896551724137931, 0.08453016003282725)","(0.08176771989752349, 0.08183363620376341)","(0.07592949404124741, 0.07878539187525646)","(0.0840534171249018, 0.08030951403950994)","(0.07663217980734927, 0.07907849229145905)","(0.07335714285714286, 0.0737440647165719)","(0.07944260882057176, 0.07690954921155987)"
LDA,"(0.6708951996540291, 0.6716102936866171)","(0.6791440022902949, 0.6809308869218594)","(0.683648783264551, 0.6881997772436836)","(0.6822630187870562, 0.6785274635089982)","(0.6697743932816169, 0.6685034292748696)","(0.6828502070541197, 0.6727240752681869)","(0.6859604157767336, 0.6809895070051)","(0.6825226000860956, 0.6830998300017586)","(0.6815654405474765, 0.6832170701682396)","(0.684381855495011, 0.6796998651738085)"

